product_id,product_name,category,subcategory,brand,price,rating,review_count,description,material,color,weight_grams,manufacturing_location,recycled_material_percentage,organic_material_percentage,eco_certification,carbon_footprint_kg,water_usage_liters,recyclability_score,repairability_score,product_lifetime_years,packaging_type,source,created_at,image_path,sustainability_score_rule,sustainability_score_ml,sustainability_score,score_explanation
P0001,EcoWeave Casual Dress,Dresses,Casual Dress,EcoWeave,1201.71,3.1,11,"Casual Dress made from recycled nylon, designed for everyday wear. Manufactured in Turkey.",Recycled Nylon,Black,557.8,China,53.5,1.4,No Certification,1.7,966.6,0.75,0.65,1.2,Minimal/No Packaging,synthetic_v1,2026-05-11,,0.5162,0.5321,0.5226,"Scored moderately due to a low carbon footprint (1.7 kg CO2e est.) and low water usage (967 L est.), though no eco-certification."
P0002,Reforma Puffer Jacket,Jackets,Puffer Jacket,Reforma,3348.45,3.4,0,"Puffer Jacket made from organic cotton, designed for everyday wear. Manufactured in Vietnam.",Organic Cotton,Beige,749.6,China,11.4,66.4,Global Recycled Standard,2.35,550.1,0.21,0.76,1.5,Recycled Cardboard,synthetic_v1,2026-02-19,,0.5889,0.4956,0.5516,"Scored moderately due to low water usage (550 L est.) and a low carbon footprint (2.4 kg CO2e est.), though very little recycled material (11%)."
P0003,Reforma Oversized Tee,T-Shirts,Oversized Tee,Reforma,1256.51,3.2,1,"Oversized Tee made from linen, designed for everyday wear. Manufactured in China.",Linen,Terracotta,246.9,Vietnam,8.7,7.0,Fair Trade,3.27,2183.7,0.24,0.35,2.2,Compostable Mailer,synthetic_v1,2025-09-06,,0.4019,0.3931,0.3984,"Scored low, dragged down by very little organic material (7%)."
P0005,CircleWear Linen Shirt,Shirts,Linen Shirt,CircleWear,2469.56,4.0,6,"Linen Shirt made from tencel lyocell, designed for everyday wear. Manufactured in Turkey.",Tencel Lyocell,Charcoal,402.4,Bangladesh,9.8,4.0,No Certification,8.49,2876.6,0.23,0.45,3.8,Minimal/No Packaging,synthetic_v1,2026-07-16,,0.2044,0.1998,0.2026,"Scored very low, dragged down by no eco-certification."
P0006,GreenThread Tote Bag,Bags,Tote Bag,GreenThread,7782.09,4.7,9,"Tote Bag made from hemp blend, designed for everyday wear. Manufactured in India.",Hemp Blend,White,651.7,Turkey,9.4,7.9,No Certification,5.53,1690.6,0.29,0.9,3.6,Compostable Mailer,synthetic_v1,2025-08-03,,0.3522,0.3213,0.3398,"Scored low due to strong repairability (0.90/1.0), though no eco-certification."
P0007,GreenThread Maxi Dress,Dresses,Maxi Dress,GreenThread,7343.71,4.7,1,"Maxi Dress made from recycled nylon, designed for everyday wear. Manufactured in Vietnam.",Recycled Nylon,Navy,239.2,Bangladesh,63.9,4.5,No Certification,3.41,1088.3,0.62,0.6,1.9,Recycled Cardboard,synthetic_v1,2025-10-29,,0.4834,0.5692,0.5177,"Scored low due to low water usage (1088 L est.), though no eco-certification."
P0008,EcoWeave Straight Fit,Jeans,Straight Fit,EcoWeave,1141.4,5.0,4,"Straight Fit made from recycled polyester, designed for everyday wear. Manufactured in India.",Recycled Polyester,Olive,220.1,Portugal,91.1,8.8,No Certification,3.16,576.8,0.53,0.83,5.7,Plastic Poly Bag,synthetic_v1,2026-04-18,,0.5866,0.6391,0.6076,"Scored moderately due to 91% recycled material and low water usage (577 L est.), though no eco-certification."
P0009,Rootwear Sandals,Shoes,Sandals,Rootwear,7246.11,3.6,4,"Sandals made from tencel lyocell, designed for everyday wear. Manufactured in Bangladesh.",Tencel Lyocell,Navy,169.9,India,13.9,7.6,No Certification,7.14,3638.8,0.3,0.7,2.9,Plastic Poly Bag,synthetic_v1,2025-11-03,,0.2446,0.255,0.2488,"Scored very low due to strong repairability (0.70/1.0), though no eco-certification."
P0010,GreenThread Formal Shirt,Shirts,Formal Shirt,GreenThread,1491.34,4.8,8,"Formal Shirt made from organic cotton, designed for everyday wear. Manufactured in Turkey.",Organic Cotton,Sage Green,309.5,Portugal,3.4,96.2,No Certification,3.22,363.8,0.22,0.7,2.1,Minimal/No Packaging,synthetic_v1,2026-05-26,,0.4811,0.4222,0.4575,"Scored low due to 96% organic material and low water usage (364 L est.), though no eco-certification."
P0011,Rootwear Basic Tee,T-Shirts,Basic Tee,Rootwear,3043.77,4.7,8,"Basic Tee made from linen, designed for everyday wear. Manufactured in Bangladesh.",Linen,Navy,268.4,Portugal,6.4,4.7,Fair Trade,7.37,3520.1,0.59,0.36,3.0,Minimal/No Packaging,synthetic_v1,2026-05-30,,0.315,0.3547,0.3309,"Scored low, dragged down by very little organic material (5%)."
