user_id,product_id,interaction_type,interaction_value,timestamp,source
U0001,P0043,rating,4,2026-06-05T13:30:14.515954,synthetic_v1
U0001,P0048,rating,4,2026-06-25T21:30:14.515968,synthetic_v1
U0001,P0282,wishlist,3,2026-07-28T00:30:14.515973,synthetic_v1
U0001,P0219,view,1,2026-04-27T23:30:14.515976,synthetic_v1
U0001,P0113,click,2,2026-03-05T09:30:14.515980,synthetic_v1
U0001,P0266,view,1,2026-07-24T10:30:14.515983,synthetic_v1
U0001,P0037,purchase,5,2026-05-14T06:30:14.515986,synthetic_v1
U0001,P0280,dislike,-2,2026-08-10T06:30:14.515989,synthetic_v1
U0001,P0236,wishlist,3,2026-07-19T08:30:14.515992,synthetic_v1
U0001,P0173,wishlist,3,2026-08-24T04:30:14.515996,synthetic_v1
U0001,P0400,view,1,2026-08-24T08:30:14.516001,synthetic_v1
U0001,P0013,dislike,-2,2026-08-24T03:30:14.516004,synthetic_v1
U0001,P0085,wishlist,3,2026-03-20T11:30:14.516007,synthetic_v1
U0001,P0043,view,1,2026-03-07T23:30:14.516010,synthetic_v1
U0001,P0051,purchase,5,2026-05-10T12:30:14.516012,synthetic_v1
U0001,P0191,dislike,-2,2026-08-16T09:30:14.516015,synthetic_v1
U0001,P0310,dislike,-2,2026-08-24T06:30:14.516018,synthetic_v1
U0001,P0181,click,2,2026-06-11T17:30:14.516021,synthetic_v1
U0001,P0059,dislike,-2,2026-04-23T09:30:14.516024,synthetic_v1
U0001,P0386,wishlist,3,2026-06-17T21:30:14.516027,synthetic_v1
U0002,P0280,view,1,2026-07-24T10:30:14.516032,synthetic_v1
U0002,P0296,dislike,-2,2026-04-14T14:30:14.516035,synthetic_v1
U0002,P0252,wishlist,3,2026-04-20T03:30:14.516038,synthetic_v1
U0002,P0090,click,2,2026-06-18T13:30:14.516040,synthetic_v1
U0002,P0022,rating,4,2026-06-11T17:30:14.516043,synthetic_v1
U0002,P0021,purchase,5,2026-04-23T16:30:14.516046,synthetic_v1
U0002,P0014,purchase,5,2026-08-19T10:30:14.516049,synthetic_v1
U0002,P0002,view,1,2026-03-14T21:30:14.516052,synthetic_v1
U0003,P0177,purchase,5,2026-03-21T19:30:14.516055,synthetic_v1
U0003,P0186,view,1,2026-04-20T21:30:14.516058,synthetic_v1
U0003,P0077,rating,4,2026-05-19T17:30:14.516061,synthetic_v1
U0003,P0063,rating,4,2026-07-01T16:30:14.516063,synthetic_v1
U0003,P0138,click,2,2026-04-22T22:30:14.516066,synthetic_v1
U0003,P0190,wishlist,3,2026-03-15T04:30:14.516069,synthetic_v1
U0003,P0159,wishlist,3,2026-07-18T11:30:14.516071,synthetic_v1
U0003,P0374,purchase,5,2026-08-20T12:30:14.516074,synthetic_v1
U0003,P0021,dislike,-2,2026-03-23T14:30:14.516077,synthetic_v1
U0003,P0209,view,1,2026-07-08T22:30:14.516080,synthetic_v1
U0004,P0315,rating,4,2026-04-10T15:30:14.516083,synthetic_v1
U0004,P0182,rating,4,2026-08-26T10:30:14.516086,synthetic_v1
U0004,P0270,dislike,-2,2026-07-15T01:30:14.516089,synthetic_v1
U0004,P0032,view,1,2026-06-24T04:30:14.516094,synthetic_v1
U0004,P0201,view,1,2026-06-27T13:30:14.516097,synthetic_v1
U0004,P0285,view,1,2026-04-17T06:30:14.516100,synthetic_v1
U0004,P0134,view,1,2026-03-23T06:30:14.516102,synthetic_v1
U0004,P0330,wishlist,3,2026-07-16T12:30:14.516105,synthetic_v1
U0004,P0256,purchase,5,2026-06-28T13:30:14.516108,synthetic_v1
U0004,P0194,click,2,2026-07-13T13:30:14.516111,synthetic_v1
U0004,P0033,dislike,-2,2026-05-20T21:30:14.516113,synthetic_v1
U0004,P0080,click,2,2026-03-12T03:30:14.516116,synthetic_v1
U0004,P0357,click,2,2026-05-20T10:30:14.516119,synthetic_v1
U0004,P0152,dislike,-2,2026-07-18T13:30:14.516122,synthetic_v1
U0004,P0331,rating,4,2026-03-12T08:30:14.516124,synthetic_v1
U0004,P0158,dislike,-2,2026-05-18T20:30:14.516127,synthetic_v1
U0005,P0125,view,1,2026-05-15T07:30:14.516131,synthetic_v1
U0005,P0189,click,2,2026-04-17T16:30:14.516133,synthetic_v1
U0005,P0054,click,2,2026-06-12T21:30:14.516136,synthetic_v1
U0005,P0237,view,1,2026-08-20T17:30:14.516139,synthetic_v1
U0005,P0324,wishlist,3,2026-05-24T00:30:14.516144,synthetic_v1
U0005,P0385,wishlist,3,2026-05-27T20:30:14.516148,synthetic_v1
U0005,P0096,view,1,2026-05-19T22:30:14.516151,synthetic_v1
U0005,P0346,dislike,-2,2026-05-28T19:30:14.516154,synthetic_v1
U0006,P0096,dislike,-2,2026-06-16T23:30:14.516157,synthetic_v1
U0006,P0012,dislike,-2,2026-03-13T03:30:14.516160,synthetic_v1
U0006,P0194,purchase,5,2026-06-13T16:30:14.516163,synthetic_v1
U0006,P0149,wishlist,3,2026-04-21T11:30:14.516168,synthetic_v1
U0006,P0259,rating,4,2026-08-25T22:30:14.516171,synthetic_v1
U0006,P0056,dislike,-2,2026-05-28T22:30:14.516173,synthetic_v1
U0006,P0358,rating,4,2026-04-24T13:30:14.516176,synthetic_v1
U0006,P0142,click,2,2026-06-07T06:30:14.516179,synthetic_v1
U0006,P0239,click,2,2026-03-27T07:30:14.516182,synthetic_v1
U0006,P0345,view,1,2026-03-07T19:30:14.516185,synthetic_v1
U0006,P0149,view,1,2026-03-08T09:30:14.516187,synthetic_v1
U0006,P0150,view,1,2026-06-30T23:30:14.516190,synthetic_v1
U0006,P0107,click,2,2026-06-01T23:30:14.516193,synthetic_v1
U0006,P0132,rating,4,2026-04-02T19:30:14.516196,synthetic_v1
U0006,P0063,dislike,-2,2026-05-21T06:30:14.516198,synthetic_v1
U0006,P0073,click,2,2026-08-05T03:30:14.516201,synthetic_v1
U0006,P0365,view,1,2026-03-30T15:30:14.516208,synthetic_v1
U0006,P0239,rating,4,2026-07-30T12:30:14.516213,synthetic_v1
U0006,P0311,view,1,2026-07-11T22:30:14.516216,synthetic_v1
