review_id,product_id,user_id,rating,review_text,review_date,source
R00001,P0001,U0091,9,"Good quality for the price, would buy again.",2025-12-12,synthetic_v1
R00002,P0001,U0089,5,Great fit and the fabric feels durable.,2026-05-15,synthetic_v1
R00003,P0001,U0005,4,True to size and holds up well after multiple washes.,2026-06-12,synthetic_v1
R00004,P0001,U0118,5,"Loved the material, very comfortable for daily wear.",2026-07-02,synthetic_v1
R00005,,U0015,5,True to size and holds up well after multiple washes.,2026-07-01,synthetic_v1
R00006,P0001,U0038,3,"Average quality, expected a bit more for the price.",2026-08-11,synthetic_v1
R00007,P0001,U0016,5,"Good quality for the price, would buy again.",2026-02-22,synthetic_v1
R00008,P0001,U0039,3,"Decent product, delivery took a while.",2026-04-03,synthetic_v1
R00009,P0001,U0102,4,Great fit and the fabric feels durable.,2026-06-19,synthetic_v1
R00010,P0001,U0007,2,"Not worth the price, quality was disappointing.",2026-03-28,synthetic_v1
R00011,P0001,U0024,3,"It's okay, nothing special but does the job.",2025-12-24,synthetic_v1
R00012,P0003,U0009,5,"Loved the material, very comfortable for daily wear.",2026-08-09,synthetic_v1
R00013,P0004,U0040,4,Nice sustainable option that doesn't compromise on comfort.,2025-11-15,synthetic_v1
R00014,P0004,U0101,4,"Loved the material, very comfortable for daily wear.",2026-02-19,synthetic_v1
R00015,P0004,U0017,4,Nice sustainable option that doesn't compromise on comfort.,2026-06-22,synthetic_v1
R00016,P0004,U0098,5,True to size and holds up well after multiple washes.,2026-01-13,synthetic_v1
R00017,P0004,U0111,4,"Good quality for the price, would buy again.",2026-03-18,synthetic_v1
R00018,P0004,U0050,1,"Not worth the price, quality was disappointing.",2026-05-04,synthetic_v1
R00019,P0005,U0006,3,"Average quality, expected a bit more for the price.",2025-09-22,synthetic_v1
R00020,P0005,U0083,4,"Loved the material, very comfortable for daily wear.",2026-07-17,synthetic_v1
R00021,P0005,U0074,2,Fabric felt thinner than expected.,2025-10-13,synthetic_v1
R00022,P0005,U0083,3,"Average quality, expected a bit more for the price.",2026-06-29,synthetic_v1
R00023,P0005,U0025,5,Great fit and the fabric feels durable.,2025-10-19,synthetic_v1
R00024,P0005,U0097,5,Nice sustainable option that doesn't compromise on comfort.,2026-08-04,synthetic_v1
R00025,P0006,U0097,5,"Good quality for the price, would buy again.",2025-12-31,synthetic_v1
R00026,P0006,U0016,5,Great fit and the fabric feels durable.,2025-09-28,synthetic_v1
R00027,P0006,U0003,5,"Good quality for the price, would buy again.",2026-04-13,synthetic_v1
R00028,P0006,U0107,2,Started wearing out after a few weeks.,2025-09-04,synthetic_v1
R00029,P0006,U0011,5,True to size and holds up well after multiple washes.,2025-12-01,synthetic_v1
R00030,P0006,U0052,5,"Loved the material, very comfortable for daily wear.",2025-11-03,synthetic_v1
R00031,P0006,U0111,1,"Not worth the price, quality was disappointing.",2026-08-20,synthetic_v1
R00032,P0006,U0024,3,"Decent product, delivery took a while.",2026-01-31,synthetic_v1
R00033,P0006,U0049,1,"Sizing ran small, had to return it.",2026-04-22,synthetic_v1
R00034,P0007,U0070,1,Fabric felt thinner than expected.,2026-06-06,synthetic_v1
R00035,P0008,U0033,2,Started wearing out after a few weeks.,2026-07-17,synthetic_v1
R00036,P0008,U0053,2,"Sizing ran small, had to return it.",2025-09-18,synthetic_v1
R00037,P0008,U0079,2,Fabric felt thinner than expected.,2026-03-18,synthetic_v1
R00038,P0008,U0092,2,Fabric felt thinner than expected.,2026-08-02,synthetic_v1
R00039,P0009,U0041,4,Great fit and the fabric feels durable.,2026-06-20,synthetic_v1
R00040,P0009,U0034,4,"Loved the material, very comfortable for daily wear.",2026-02-20,synthetic_v1
R00041,P0009,U0026,1,Fabric felt thinner than expected.,2026-05-01,synthetic_v1
R00042,P0009,U0031,5,Nice sustainable option that doesn't compromise on comfort.,2025-12-22,synthetic_v1
R00043,P0010,U0015,5,True to size and holds up well after multiple washes.,2026-04-16,synthetic_v1
R00044,P0010,U0060,1,"Sizing ran small, had to return it.",2025-11-21,synthetic_v1
R00045,P0010,U0062,4,Great fit and the fabric feels durable.,2026-08-17,synthetic_v1
R00046,P0010,U0117,4,"Good quality for the price, would buy again.",2026-08-22,synthetic_v1
